Year,Series,Measure,Sector,Geopolitical Zone,State,Units,GeoCode,Value
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Kano,Percentage (%),NGKN19,7.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Katsina,Percentage (%),NGKT20,4.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Kebbi,Percentage (%),NGKE21,2.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Kogi,Percentage (%),NGKO22,2.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Kwara,Percentage (%),NGKW23,1.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Lagos,Percentage (%),NGLA24,6.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Nasarawa,Percentage (%),NGNA25,1.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Niger,Percentage (%),NGNI26,2.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Ogun,Percentage (%),NGOG27,2.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Ondo,Percentage (%),NGON28,2.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Osun,Percentage (%),NGOS29,2.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Oyo,Percentage (%),NGOY30,3.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Plateau,Percentage (%),NGPL31,2.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Rivers,Percentage (%),NGRI32,3.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Sokoto,Percentage (%),NGSO33,3.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Taraba,Percentage (%),NGTA34,1.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Yobe,Percentage (%),NGYO35,1.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Zamfara,Percentage (%),NGZA36,2.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Federal Capital Territory,Percentage (%),NGFC37,1.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,,Millions,NG,132.92
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,Rural,,,Millions,NG,105.98
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,Urban,,,Millions,NG,26.94
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,North  Central,,Millions,NGNCZ06,20.19
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,North East,,Millions,NGNEZ05,20.47
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,North West,,Millions,NGNWZ04,45.49
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,South East,,Millions,NGSEZ03,10.85
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,South South,,Millions,NGSSZ02,19.66
