Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Gender,Units,GeoCode,Value
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Osun,,Percentage (%),NGOS29,1.4
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Oyo,,Percentage (%),NGOY30,0.4
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Plateau,,Percentage (%),NGPL31,4
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Rivers,,Percentage (%),NGRI32,2.3
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Sokoto,,Percentage (%),NGSO33,0.4
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Taraba,,Percentage (%),NGTA34,1.3
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Yobe,,Percentage (%),NGYO35,2.7
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Zamfara,,Percentage (%),NGZA36,4.1
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Federal Capital Territory,,Percentage (%),NGFC37,1.3
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,,,Percentage (%),NG,19.4
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",Urban,,,,,,,Percentage (%),NG,31.6
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",Rural,,,,,,,Percentage (%),NG,12.7
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,15-19,,,,,,Percentage (%),NG,10.2
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,20-24,,,,,,Percentage (%),NG,13.5
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,25-29,,,,,,Percentage (%),NG,14.8
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,30-34,,,,,,Percentage (%),NG,19.1
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,35-39,,,,,,Percentage (%),NG,21.3
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,40-44,,,,,,Percentage (%),NG,21.9
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,45-49,,,,,,Percentage (%),NG,25.3
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,North Central,,,,Percentage (%),NGNCZ06,9.1
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,North East,,,,Percentage (%),NGNEZ05,27.1
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,North West,,,,Percentage (%),NGNWZ04,22.3
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,South East,,,,Percentage (%),NGSEZ03,16.6
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,South South,,,,Percentage (%),NGSSZ02,23.2
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,South West,,,,Percentage (%),NGSWZ01,31.6
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,None,,,,,Percentage (%),NG,12.1
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,Primary,,,,,Percentage (%),NG,10.1
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,Secondary,,,,,Percentage (%),NG,19.4
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,Higher,,,,,Percentage (%),NG,45.8
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Lowest,,,Percentage (%),NG,8.7
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Second,,,Percentage (%),NG,8.7
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Middle,,,Percentage (%),NG,13.4
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Fourth,,,Percentage (%),NG,22.8
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Highest,,,Percentage (%),NG,45.1
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Abia,,Percentage (%),NGAB01,12.2
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Adamawa,,Percentage (%),NGAD02,25
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Akwa Ibom,,Percentage (%),NGAK03,26.5
2024,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Anambra,,Percentage (%),NGAN04,3.3
